Genomic bins	Elos1_final_pure_reads	Elos10_final_pure_reads	Elos3_final_pure_reads	Elos12_final_pure_reads	Elos2_final_pure_reads	Elos7_final_pure_reads
bin.62	6.123316	2.992554	0.009656	0.22481250000000003	6.671833	2.427143
bin.247	0.314146	3.143362	0.569772	1.1713835000000001	2.517605	5.863946
bin.93	0.0445	0.058297	0.001339	0.979842	0.769251	0.004275
bin.21	0.018865	0.001371	0.0	2.040607	0.00096	0.0
bin.29	0.017432	0.043935	0.000322	0.087696	2.081017	0.00017
bin.252	1.15984	0.184753	0.038749	0.010495	7.739629	0.50871
bin.193	1.404445	0.003474	0.035819	0.014187	0.312634	0.190159
bin.112	2.316268	0.421794	0.003029	0.044923	0.052622	4.875756
bin.78	1.011869	0.039988	0.029861	0.009028	0.352687	0.001582
bin.179	0.441769	0.129497	0.0	0.0	0.0	0.36169
bin.50	0.284801	0.038366	0.553571	0.218349	0.096316	0.126225
bin.122	0.067309	0.561086	0.004953	0.151746	0.907979	0.0
bin.110	0.233258	0.399173	0.002172	1.753794	3.609928	0.021087
bin.117	0.031035	1.835516	1.1728	0.017056	0.182798	0.634767
bin.210	0.0	0.370803	0.519208	0.0	0.0	0.344844
bin.61	0.038162	0.303584	0.001878	0.468435	1.692053	0.002252
bin.66	0.357767	0.023783	0.006322	0.009845	1.794793	0.10503
bin.73	0.5280665	1.529759	0.002138	0.065048	3.61534	0.002797
bin.268	0.343793	4.979632	0.014057	0.013902	0.80944	0.019311
bin.263	0.0	0.008599	1.078311	0.0	0.0	0.366812
bin.86	0.122949	0.071436	0.0	1.613783	0.776831	0.000352
bin.76	0.068187	0.094558	10.86714	0.000654	0.010692	1.74938
bin.169	0.210152	1.260379	0.0	0.012129	0.018628	0.556925
bin.285	0.038995	0.005163	1.409853	0.012262	0.015885	4.009169
bin.240	0.216208	0.032864	4.492533	0.025857	0.022061	2.146071
bin.139	0.049465	0.067543	3.655335	0.002212	0.011076	3.051887
bin.183	0.008834	3.060366	0.0	1.994749	9.338292	0.005774
bin.233	0.075765	2.827497	0.000688	4.587122	4.560056	0.01905
bin.238	0.2626695	5.274369	0.0	0.010479	0.036778	0.013167
bin.136	0.0	1.400158	0.0	0.041930499999999996	0.067167	0.0
bin.188	0.0	0.160174	0.0	0.147568	1.374869	0.0
bin.211	0.014509	0.404077	0.0	0.321873	1.250947	0.0
bin.129	0.21217	0.102211	4.485738	0.030921	0.047382	1.570949
bin.15	0.689081	2.236921	0.009806	0.607134	2.632093	0.00781
bin.246	0.009812	0.014576	0.0	2.352848	0.009928	0.000536
bin.147	0.004891	0.006412	0.001586	37.467246	0.003475	0.005892
bin.258	0.764802	1.5349754999999998	2.88623	0.102272	0.05584	7.529033
bin.17	0.0	0.901647	0.0	0.016536	0.445866	0.0
bin.49	0.145711	0.138588	0.399053	0.005315	0.004535	1.052429
bin.254	0.256523	0.114109	0.654002	0.062766	0.045788	3.20581
bin.244	0.009733	1.330475	0.0	1.783425	1.903676	0.040205
bin.201	8.402549	0.429179	17.051334	4.828442	1.427108	9.3803985
bin.196	0.006603	0.523206	0.0	1.372677	0.214041	0.0
bin.40	0.011765	0.695977	0.0	0.466806	0.516575	0.0
bin.195	0.0	1.501293	0.0	0.007222	0.200292	0.0
bin.118	1.130394	0.097112	0.006275	0.053747	2.26051	0.010256
bin.94	0.008367	0.042406	0.757226	0.001375	0.002654	0.993024
bin.221	2.944488	36.013765	0.370552	3.286263	20.487613	1.573491
