accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_017995405.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA3900; s__UBA3900 sp017995405	True	False
GCA_017995495.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Syntrophosphaera; s__Syntrophosphaera sp017995495	True	False
GCA_017996595.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Cloacimonas; s__Cloacimonas sp017996595	True	False
GCA_017998585.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__WRIO01; g__JAGOCT01; s__JAGOCT01 sp017998585	True	False
GCA_018053925.1	Candidatus Cloacimonas sp.	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__Candidatus Cloacimonas; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Cloacimonas; s__Cloacimonas acidaminovorans	False	False
GCA_018056785.1	Candidatus Syntrophosphaera sp.	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__Candidatus Syntrophosphaera; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Syntrophosphaera; s__Syntrophosphaera thermopropionivorans	False	False
GCA_018057045.1	Candidatus Cloacimonas sp.	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__Candidatus Cloacimonas; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Cloacimonas; s__Cloacimonas sp002432865	False	False
GCA_018057105.1	Candidatus Syntrophosphaera sp.	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__Candidatus Syntrophosphaera; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Syntrophosphaera; s__Syntrophosphaera sp002070045	False	False
GCA_018400535.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__TCS61; g__TCS61; s__TCS61 sp018400535	True	False
GCA_018432345.1	Candidatus Cloacimonetes bacterium	d__Bacteria; p__Candidatus Cloacimonetes; c__; o__; f__; g__; s__	d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__UBA5456; s__UBA5456 sp018433885	False	False
