accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_903948415.1	uncultured Opitutae bacterium	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__CAITWF01; s__CAITWF01 sp903948415	True	False
GCA_903949215.1	uncultured Opitutae bacterium	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__UBA953; g__UBA8828; s__UBA8828 sp903957465	False	False
GCA_903949245.1	uncultured Opitutaceae bacterium	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__; s__	Undefined (Failed Quality Check)	False	False
GCA_903952145.1	uncultured Opitutaceae bacterium	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__UBA2377; s__UBA2377 sp903952145	True	False
GCA_903953835.1	uncultured Opitutae bacterium	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Tous-C4FEB; s__Tous-C4FEB sp903938935	False	False
GCA_903954025.1	uncultured Opitutaceae bacterium	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__UBA6669; s__UBA6669 sp903862595	False	False
GCA_903954225.1	uncultured Opitutae bacterium	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Tous-C4FEB; s__Tous-C4FEB sp903938935	False	False
GCA_903957465.1	uncultured Opitutae bacterium	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__UBA953; g__UBA8828; s__UBA8828 sp903957465	True	False
GCA_903957525.1	uncultured Opitutaceae bacterium	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__; s__	Undefined (Failed Quality Check)	False	False
GCA_903957955.1	uncultured Opitutaceae bacterium	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__; s__	Undefined (Failed Quality Check)	False	False
GCA_903958815.1	uncultured Opitutaceae bacterium	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__; s__	Undefined (Failed Quality Check)	False	False
GCA_903959915.1	uncultured Opitutaceae bacterium	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__; s__	Undefined (Failed Quality Check)	False	False
GCA_903960515.1	uncultured Verrucomicrobia bacterium	d__Bacteria; p__Verrucomicrobia; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__CAJCBL01; s__CAJCBL01 sp903960515	True	False
GCA_903960615.1	uncultured Opitutae bacterium	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Tous-C4FEB; s__Tous-C4FEB sp903938935	False	False
GCA_904419695.1	uncultured Opitutales bacterium	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__CAG-312; g__Merdousia; s__Merdousia gallistercoris	False	False
GCA_904424815.1	Puniceicoccaceae bacterium Marseille-Q1082	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Puniceicoccales; f__Puniceicoccaceae; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__CAG-312; g__Merdousia; s__Merdousia sp001917305	True	False
