OTU	Elos10	Classification
Otu12496	11	Viruses;Naldaviricetes;Lefavirales;Nudiviridae;Betanudivirus;Heliothis zea nudivirus;Helicoverpa zea nudivirus 2;;;;;;
Otu12497	346	Bacteria;Thermotogae;Thermotogae;Kosmotogales;Kosmotogaceae;Kosmotoga;Kosmotoga olearia;Kosmotoga olearia TBF 19.5.1;;;;
Otu12498	138	Archaea;TACK group;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfodiicoccus;Sulfodiicoccus acidiphilus;;;;
Otu12499	2	Archaea;TACK group;Crenarchaeota;Thermoprotei;Thermofilales;Thermofilaceae;Infirmifilum;;;;;
Otu12500	1	Viruses;unclassified viruses;Culex negev-like virus 3;;;;;;;;;;
Otu12501	2675	Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;unclassified Streptomyces;Streptomyces sp. MBT27;;;
Otu12502	316	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Xenorhabdus;Xenorhabdus poinarii;Xenorhabdus poinarii G6;;;;
Otu12503	577	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Swingsia;unclassified Swingsia;Swingsia sp. F3b2;;;;
Otu12504	17561	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio;Thioalkalivibrio sulfidiphilus;Thioalkalivibrio sulfidiphilus HL-EbGr7;;;;
Otu12505	46	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;unclassified Enterobacteriaceae;Enterobacteriaceae endosymbiont of Macroplea mutica;;;;;
Otu12506	5260	Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera;unclassified Thauera;Thauera sp. K11;;;;
Otu12507	1977	Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Heliobacteriaceae;Heliomicrobium;Heliomicrobium modesticaldum;Heliomicrobium modesticaldum Ice1;;;
Otu12508	318	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Octadecabacter;;;;;;
Otu12509	2	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;unclassified Escherichia;Escherichia sp. SCLE84;;;;
Otu12510	1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Fromanvirus;unclassified Fromanvirus;Mycobacterium phage Centaur;;;
Otu12511	409	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Limnospira;Limnospira indica;Limnospira indica PCC 8005;;
Otu12512	932	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Dongshaea;Dongshaea marina;;;;;
Otu12513	13	Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas gingivalis;Porphyromonas gingivalis AJW4;;
Otu12514	81	Bacteria;Terrabacteria group;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Anaerococcus;Anaerococcus vaginalis;;;;
Otu12515	242	Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas;unclassified Sulfurimonas;Sulfurimonas sp. H1576;;;
Otu12516	814	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingorhabdus;Sphingorhabdus lacus;;;;;
Otu12517	3581	Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Micromonosporales;Micromonosporaceae;Micromonospora;Micromonospora carbonacea;;;;
Otu12518	20	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Rountreeviridae;Sarlesvirinae;Copernicusvirus;Enterococcus virus Efmus4;Enterococcus phage vB_EfaP_Efmus4;;
Otu12519	12	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Methylophaga;;;;;;
Otu12520	3	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Alphacoronavirus;Decacovirus;Rhinolophus ferrumequinum alphacoronavirus HuB-2013;Alphacoronavirus BtMs-AlphaCoV/GS2013
Otu12521	4	Bacteria;Terrabacteria group;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;Deinococcus radiodurans;Deinococcus radiodurans R1;;;
Otu12522	18667	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Jannaschia;unclassified Jannaschia;Jannaschia sp. J12C1-MA-4;;;;
Otu12523	1	Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema pallidum;Treponema pallidum subsp. pallidum;;;;
Otu12524	2	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Galaxyvirus;;;;;
Otu12525	1483	Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Gryllotalpicola;Gryllotalpicola protaetiae;;;;
Otu12526	2	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Arquatrovirinae;Likavirus;Streptomyces virus Izzy;Streptomyces phage Izzy;;
Otu12527	192	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinomonas;Marinomonas foliarum;;;;;
