k_number	Elos10	Elos12	Elos01	Elos02	Elos03	Elos07
K13662	0.0	0.0	2.5636163055102563	0.5866546741696819	0.0	0.0
K13663	0.9177085033982857	0.29984468206101295	1.2200263901273545	1.4764581197934912	2.6497527249109982	2.292831942304895
K13665	11.995798374364378	1.695840523471588	3.589801327457667	4.725718002063639	7.088620992716567	17.65925066161248
K13668	19.152878949277802	57.673660195647464	21.085289865111147	14.727666660234483	32.6134175689626	41.82408184526436
K13670	1.478974391385409	0.13492817682172834	0.0	2.09192394419136	0.6822646741211396	0.6593003405554859
K13676	0.0	0.0	0.0	0.0	0.0	0.0706764909560746
K13677	0.21545351903437093	16.897132649749445	44.50647219562861	9.854818930848783	25.855199387027938	23.839248135482173
K13678	0.0	0.0	0.6884473121089274	0.8905410926131727	0.21648568039191882	0.18577041840336242
K13683	9.404380840795875	4.176448249275171	2.1127055469952043	5.368887165029306	14.72525684220672	8.96781170417252
K13684	3.209034560038544	1.9672630200482162	1.0992979779786352	2.626838717350754	1.290904371419888	1.6296056785880837
K13686	0.2658732669018303	0.0	0.0	1.097562390766161	0.0	0.0
K13687	13.597607591047371	27.225875624247582	1.1065626081014888	29.12193029304019	2.916737129692146	3.9234033031997644
K13688	6.152775525111025	15.191561636117363	1.1265083973070082	10.207894332895707	0.26114250065858396	0.787236460315701
K13693	59.02863144367815	38.884963272482345	86.88065786059671	71.00998441925795	53.30432007518733	67.79197420798312
K13694	0.5877082966933647	10.050733302802945	2.8605346827466347	2.054405877135997	8.87876903741092	4.10910460323761
K13695	0.0	1.3952706731158142	0.0	0.0	0.1425858167267293	0.0
K13700	6.703607318254363	2.3589090450969192	2.823696730405589	4.421179771916819	3.7564739722463627	10.936361998389845
K13702	0.0	2.248432550548719	3.89315472627878	0.0	0.15006586764418142	1.0681196741008128
K13703	0.17010150915080263	0.0	0.0	0.0	0.0	0.0
K13706	3.7013253429416273	5.897928848689648	2.9822149225484633	9.059984182164639	0.0	0.42749906552871564
K13711	0.0	0.0	0.0	0.0	0.17471852425320872	0.0
K13719	0.0	0.0	0.0	0.0	0.22120568861948348	0.0
K13730	11.030752923847933	5.89872294933182	4.705943321647741	13.792027171867986	6.086461783706519	6.212690460758895
K13735	7.095477257376138	5.243485142372346	0.8127756327355531	9.201649957060036	1.7879981167043342	2.410894009848497
K13745	8.14885827010399	15.1651274595323	2.4715427204125273	4.769949997898552	24.255121067588284	15.459483636259607
K13747	13.616467422412029	1.099942438457151	2.7497893501269246	5.349528625675722	32.62247095595592	25.207667359646845
K13758	0.0	0.0	0.0	0.0	0.0464469370234262	0.12365670552953487
K13766	26.052058210224182	37.34109651670019	18.100176868093588	22.821185756935296	41.05927335175157	41.69165105693514
K13770	49.119289011201474	63.1070015665523	37.28062071651794	84.04753283864176	16.801593378187647	16.517478457217507
K13771	25.07672504666591	15.619493648843068	33.562318952281025	15.34416787277015	50.54048260595781	71.05004017510215
K13772	0.4775940499861948	0.16406450142528822	0.2371273047391334	0.0	0.1459425650022038	0.0
K13774	0.8157682165126201	0.616652236172854	0.7324739705771504	0.5775641809080372	8.191285982981368	6.315722246018368
