ko:K14207    SLC38A2, SNAT2; solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 2
ko:K14209    SLC36A, PAT; solute carrier family 36 (proton-coupled amino acid transporter)
ko:K14258    TRET1; facilitated trehalose transporter
ko:K14383    SLC5A3, SMIT; solute carrier family 5 (sodium/myo-inositol cotransporter), member 3
ko:K14426    SLC12A3, TSC; solute carrier family 12 (sodium/chloride transporter), member 3
ko:K14427    SLC12A4_6, KCC1_3; solute carrier family 12 (potassium/chloride transporter), member 4/6
ko:K14428    SLC12A8, CCC9; solute carrier family 12 (potassium/chloride transporters), member 8
ko:K14429    SLC12A9, CCC6; solute carrier family 12 (potassium/chloride transporters), member 9
ko:K14490    AHP; histidine-containing phosphotransfer peotein
ko:K14497    PP2C; protein phosphatase 2C [EC:3.1.3.16]
ko:K14509    ETR, ERS; ethylene receptor [EC:2.7.13.-]
ko:K14802    DRS2, ATP8A; phospholipid-transporting ATPase [EC:7.6.2.1]
ko:K14978    ssrA; two-component system, LuxR family, secretion system sensor histidine kinase SsrA
ko:K14986    fixL; two-component system, LuxR family, sensor kinase FixL [EC:2.7.13.3]
ko:K14990    SLC38A1, SNAT1, GLNT; solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 1
ko:K14991    SLC38A4, SNAT4; solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 4
ko:K14992    SLC38A5, SNAT5; solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 5
ko:K15015    SLC32A, VGAT; solute carrier family 32 (vesicular inhibitory amino acid transporter)
ko:K15109    SLC25A20_29, CACT, CACL, CRC1; solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20/29
ko:K15118    SLC25A38; solute carrier family 25, member 38
ko:K16055    TPS; trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]
ko:K16894    CATSPERG; cation channel sperm-associated protein subunit gamma
ko:K16896    TPCN1; two pore calcium channel protein 1
ko:K16897    TPCN3; two pore calcium channel protein 3
ko:K18854    LYC1; acetyl-CoA:lysine N6-acetyltransferase [EC:2.3.1.306]
ko:K18940    arlS; two-component system, OmpR family, sensor histidine kinase ArlS [EC:2.7.13.3]
ko:K19573    ATAT1, MEC17; alpha-tubulin N-acetyltransferase 1 [EC:2.3.1.108]
ko:K19910    SYT10; synaptotagmin-10
ko:K20007    KCNK18, K2P18.1; potassium channel subfamily K member 18
ko:K20436    valL, salC; validamine 7-phosphate valienyltransferase [EC:2.5.1.135]
ko:K20440    salE; salbostatin 6'-phosphate phosphatase [EC:3.1.3.-]
ko:K20838    NAT8; N-acetyltransferase 8 [EC:2.3.1.80 2.3.1.-]
ko:K20971    ladS; two-component system, sensor histidine kinase LadS
ko:K20973    sagS; two-component system, sensor histidine kinase SagS [EC:2.7.13.3]
ko:K20974    K20974; two-component system, sensor histidine kinase [EC:2.7.13.3]
ko:K21302    sapM; phosphatidylinositol-3-phosphatase [EC:3.1.3.64]
ko:K21355    ggp; 1,2-alpha-glucosylglycerol phosphorylase [EC:2.4.1.332]
ko:K21862    DSC1, NaCP60E; voltage-gated cation channel
ko:K21867    AKT, KAT, GORK, SKOR; potassium channel
ko:K22337    TSL1, TPS3; trehalose 6-phosphate synthase complex regulatory subunit
ko:K22450    SNAT; aralkylamine N-acetyltransferase [EC:2.3.1.87]
ko:K22934    E3.2.1.28; alpha,alpha-trehalase [EC:3.2.1.28]
ko:K23855    KCNIP; Kv channel-interacting protein
